dl_name,long_name,short_name,default
100m_u_component_of_wind,100 metre U wind component,u100,
100m_v_component_of_wind,100 metre V wind component,v100,
10m_u_component_of_neutral_wind,Neutral wind at 10 m u-component,u10n,
10m_u_component_of_wind,10 metre U wind component,u10,
10m_v_component_of_neutral_wind,Neutral wind at 10 m v-component,v10n,
10m_v_component_of_wind,10 metre V wind component,v10,
10m_wind_direction,10 metre wind direction,dwi,
10m_wind_gust_since_previous_post_processing,10 metre wind gust since previous post-processing,fg10,
10m_wind_speed,10 metre wind speed,wind,
2m_dewpoint_temperature,2 metre dewpoint temperature,d2m,
2m_temperature,2 metre temperature,t2m,
air_density_over_the_oceans,Air density over the oceans,p140209,
altimeter_corrected_wave_height,Altimeter corrected wave height,acwh,
altimeter_range_relative_correction,Altimeter range relative correction,arrc,
altimeter_wave_height,Altimeter wave height,awh,
angle_of_sub_gridscale_orography,Angle of sub-gridscale orography,anor,
anisotropy_of_sub_gridscale_orography,Anisotropy of sub-gridscale orography,isor,
benjamin_feir_index,Benjamin-Feir index,bfi,
boundary_layer_dissipation,Boundary layer dissipation,bld,
boundary_layer_height,Boundary layer height,blh,
charnock,Charnock,chnk,
clear_sky_direct_solar_radiation_at_surface,Clear-sky direct solar radiation at surface,cdir,
cloud_base_height,Cloud base height,cbh,
coefficient_of_drag_with_waves,Coefficient of drag with waves,cdww,
convective_available_potential_energy,Convective available potential energy,cape,
convective_inhibition,Convective inhibition,cin,
convective_precipitation,Convective precipitation,cp,
convective_rain_rate,Convective rain rate,crr,
convective_snowfall,Convective snowfall,csf,
convective_snowfall_rate_water_equivalent,Convective snowfall rate water equivalent,csfr,1
downward_uv_radiation_at_the_surface,Downward UV radiation at the surface,uvb,
duct_base_height,Duct base height,dctb,
eastward_gravity_wave_surface_stress,Eastward gravity wave surface stress,lgws,
eastward_turbulent_surface_stress,Eastward turbulent surface stress,ewss,
evaporation,Evaporation,e,1
forecast_albedo,Forecast albedo,fal,
forecast_logarithm_of_surface_roughness_for_heat,Forecast logarithm of surface roughness for heat,flsr,
forecast_surface_roughness,Forecast surface roughness,fsr,
free_convective_velocity_over_the_oceans,Free convective velocity over the oceans,p140208,
friction_velocity,Friction velocity,zust,
gravity_wave_dissipation,Gravity wave dissipation,gwd,
high_cloud_cover,High cloud cover,hcc,
high_vegetation_cover,High vegetation cover,cvh,
ice_temperature_layer_1,Ice temperature layer 1,istl1,
ice_temperature_layer_2,Ice temperature layer 2,istl2,
ice_temperature_layer_3,Ice temperature layer 3,istl3,
ice_temperature_layer_4,Ice temperature layer 4,istl4,
instantaneous_10m_wind_gust,Instantaneous 10 metre wind gust,i10fg,
instantaneous_eastward_turbulent_surface_stress,Instantaneous eastward turbulent surface stress,iews,
instantaneous_large_scale_surface_precipitation_fraction,Instantaneous large-scale surface precipitation fraction,ilspf,
instantaneous_moisture_flux,Instantaneous moisture flux,ie,
instantaneous_northward_turbulent_surface_stress,Instantaneous northward turbulent surface stress,inss,
instantaneous_surface_sensible_heat_flux,Instantaneous surface sensible heat flux,ishf,
k_index,K index,kx,
lake_bottom_temperature,Lake bottom temperature,lblt,
lake_cover,Lake cover,cl,
lake_depth,Lake depth,dl,
lake_ice_depth,Lake ice depth,licd,
lake_ice_temperature,Lake ice temperature,lict,
lake_mix_layer_depth,Lake mix-layer depth,lmld,
lake_mix_layer_temperature,Lake mix-layer temperature,lmlt,
lake_shape_factor,Lake shape factor,lshf,
lake_total_layer_temperature,Lake total layer temperature,ltlt,
land_sea_mask,Land-sea mask,lsm,1
large_scale_precipitation,Large-scale precipitation,lsp,
large_scale_precipitation_fraction,Large-scale precipitation fraction,lspf,
large_scale_rain_rate,Large scale rain rate,lsrr,
large_scale_snowfall,Large-scale snowfall,lsf,
large_scale_snowfall_rate_water_equivalent,Large scale snowfall rate water equivalent,lssfr,1
leaf_area_index_high_vegetation,"Leaf area index, high vegetation",lai_hv,
leaf_area_index_low_vegetation,"Leaf area index, low vegetation",lai_lv,
low_cloud_cover,Low cloud cover,lcc,
low_vegetation_cover,Low vegetation cover,cvl,
maximum_2m_temperature_since_previous_post_processing,Maximum temperature at 2 metres since previous post-processing,mx2t,
maximum_individual_wave_height,Maximum individual wave height,hmax,
maximum_total_precipitation_rate_since_previous_post_processing,Maximum total precipitation rate since previous post-processing,mxtpr,
mean_boundary_layer_dissipation,Mean boundary layer dissipation,mbld,
mean_convective_precipitation_rate,Mean convective precipitation rate,mcpr,
