dl_name,long_name,short_name,default
100m_u_component_of_wind,100 metre U wind component,u100,0
100m_v_component_of_wind,100 metre V wind component,v100,0
10m_u_component_of_neutral_wind,Neutral wind at 10 m u-component,u10n,0
10m_u_component_of_wind,10 metre U wind component,u10,0
10m_v_component_of_neutral_wind,Neutral wind at 10 m v-component,v10n,0
10m_v_component_of_wind,10 metre V wind component,v10,0
10m_wind_gust_since_previous_post_processing,10 metre wind gust since previous post-processing,fg10,0
2m_dewpoint_temperature,2 metre dewpoint temperature,d2m,0
2m_temperature,2 metre temperature,t2m,0
air_density_over_the_oceans,Air density over the oceans,p140209,0
angle_of_sub_gridscale_orography,Angle of sub-gridscale orography,anor,0
anisotropy_of_sub_gridscale_orography,Anisotropy of sub-gridscale orography,isor,0
benjamin_feir_index,Benjamin-Feir index,bfi,0
boundary_layer_dissipation,Boundary layer dissipation,bld,0
boundary_layer_height,Boundary layer height,blh,0
charnock,Charnock,chnk,0
clear_sky_direct_solar_radiation_at_surface,Clear-sky direct solar radiation at surface,cdir,0
cloud_base_height,Cloud base height,cbh,0
coefficient_of_drag_with_waves,Coefficient of drag with waves,cdww,0
convective_available_potential_energy,Convective available potential energy,cape,0
convective_inhibition,Convective inhibition,cin,0
convective_precipitation,Convective precipitation,cp,0
convective_rain_rate,Convective rain rate,crr,0
convective_snowfall,Convective snowfall,csf,0
convective_snowfall_rate_water_equivalent,Convective snowfall rate water equivalent,csfr,1
downward_uv_radiation_at_the_surface,Downward UV radiation at the surface,uvb,0
duct_base_height,Duct base height,dctb,0
eastward_gravity_wave_surface_stress,Eastward gravity wave surface stress,lgws,0
eastward_turbulent_surface_stress,Eastward turbulent surface stress,ewss,0
evaporation,Evaporation,e,1
forecast_albedo,Forecast albedo,fal,0
forecast_logarithm_of_surface_roughness_for_heat,Forecast logarithm of surface roughness for heat,flsr,0
forecast_surface_roughness,Forecast surface roughness,fsr,0
free_convective_velocity_over_the_oceans,Free convective velocity over the oceans,p140208,0
friction_velocity,Friction velocity,zust,0
geopotential,Geopotential,z,0
gravity_wave_dissipation,Gravity wave dissipation,gwd,0
high_cloud_cover,High cloud cover,hcc,0
high_vegetation_cover,High vegetation cover,cvh,0
ice_temperature_layer_1,Ice temperature layer 1,istl1,0
ice_temperature_layer_2,Ice temperature layer 2,istl2,0
ice_temperature_layer_3,Ice temperature layer 3,istl3,0
ice_temperature_layer_4,Ice temperature layer 4,istl4,0
instantaneous_10m_wind_gust,Instantaneous 10 metre wind gust,i10fg,0
instantaneous_eastward_turbulent_surface_stress,Instantaneous eastward turbulent surface stress,iews,0
